Unnamed: 0,Tank Failure Pressure (bar),Liquid Ratio,Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3239,16.48,0.54,1.41,6.8,1.4,0.61,0.82,327.63,341.52,13,7,4,0.82,5,Superheated,42.5,-42,96.7,27,5,14.1,4.75,2.8,0.27946949
3240,17.53,0.46,1.19,4.79,2.21,0.18,1.2,327.54,398.95,15,6,4,1.41,17,Superheated,37.9,-1,152,1,1,17.05,1.8,-0.6,0.10756273
3241,17.66,0.47,1.19,4.82,2.21,0.18,1.19,328.01,398.7,15,6,4,1.38,17,Superheated,37.9,-1,152,2,1,17.05,1.8,1.2,0.10761514
3242,17.45,0.46,1.18,4.8,2.2,0.21,1.19,326.99,398.38,15,6,4,1.42,17,Superheated,37.9,-1,152,3,1,17.05,1.8,3,0.15120073
3243,17.55,0.46,1.19,4.79,2.22,0.18,1.19,326.05,398.57,15,6,4,1.39,17,Superheated,37.9,-1,152,4,1,17.05,4.6,-0.6,0.1312208
3244,17.31,0.46,1.2,4.8,2.21,0.22,1.21,326.47,399.08,15,6,4,1.4,17,Superheated,37.9,-1,152,5,1,17.05,4.6,1.2,0.10640184
3245,17.55,0.46,1.22,4.82,2.18,0.18,1.19,326.85,398.98,15,6,4,1.4,17,Superheated,37.9,-1,152,6,1,17.05,4.6,3,0.078522585
3246,17.55,0.46,1.19,4.8,2.18,0.19,1.19,326.95,398.73,15,6,4,1.41,17,Superheated,37.9,-1,152,7,1,17.05,7.4,-0.6,0.078157507
3247,17.62,0.46,1.19,4.79,2.2,0.2,1.21,328.36,398.47,15,6,4,1.41,17,Superheated,37.9,-1,152,8,1,17.05,7.4,1.2,0.063219823
3248,17.57,0.46,1.18,4.81,2.18,0.21,1.21,325.99,398.46,15,6,4,1.41,17,Superheated,37.9,-1,152,9,1,17.05,7.4,3,0.12427116
3249,17.32,0.46,1.21,4.81,2.21,0.21,1.18,328.26,399.01,15,6,4,1.4,17,Superheated,37.9,-1,152,10,2,15.55,1.8,-0.6,0.56247532
3250,17.4,0.46,1.21,4.78,2.19,0.19,1.21,328.1,399.41,15,6,4,1.39,17,Superheated,37.9,-1,152,11,2,15.55,1.8,1.2,0.55776858
3251,17.49,0.46,1.2,4.81,2.2,0.22,1.2,326.83,399,15,6,4,1.39,17,Superheated,37.9,-1,152,12,2,15.55,1.8,3,0.52090412
3252,17.38,0.46,1.18,4.81,2.18,0.18,1.22,325.51,398.97,15,6,4,1.4,17,Superheated,37.9,-1,152,13,2,15.55,4.6,-0.6,0.60918963
3253,17.62,0.46,1.21,4.78,2.21,0.19,1.19,326.1,398.52,15,6,4,1.41,17,Superheated,37.9,-1,152,14,2,15.55,4.6,1.2,0.6053232
3254,17.36,0.46,1.19,4.79,2.19,0.21,1.21,327.46,398.99,15,6,4,1.41,17,Superheated,37.9,-1,152,15,2,15.55,4.6,3,0.5561837
3255,17.37,0.46,1.2,4.81,2.2,0.2,1.22,326.51,398.81,15,6,4,1.39,17,Superheated,37.9,-1,152,16,2,15.55,7.4,-0.6,0.52497488
3256,17.48,0.46,1.22,4.78,2.21,0.21,1.2,327.03,398.61,15,6,4,1.38,17,Superheated,37.9,-1,152,17,2,15.55,7.4,1.2,0.52290064
3257,17.69,0.46,1.19,4.79,2.21,0.19,1.21,326.87,398.5,15,6,4,1.4,17,Superheated,37.9,-1,152,18,2,15.55,7.4,3,0.48448184
3258,17.43,0.46,1.21,4.79,2.21,0.2,1.21,327.04,398.51,15,6,4,1.38,17,Superheated,37.9,-1,152,19,3,16.3,1.55,-0.6,0.34290519
3259,17.52,0.46,1.2,4.78,2.2,0.2,1.19,325.96,399.63,15,6,4,1.38,17,Superheated,37.9,-1,152,20,3,16.3,1.55,1.2,0.34114543
3260,17.5,0.46,1.19,4.78,2.22,0.2,1.21,327.31,398.89,15,6,4,1.41,17,Superheated,37.9,-1,152,21,3,16.3,1.55,3,0.32118651
3261,17.55,0.46,1.2,4.81,2.21,0.2,1.2,327.51,398.21,15,6,4,1.38,17,Superheated,37.9,-1,152,22,4,16.3,1.8,3.3,0.26980087
3262,17.7,0.46,1.19,4.79,2.22,0.22,1.18,329.08,398.84,15,6,4,1.4,17,Superheated,37.9,-1,152,23,4,16.3,4.6,3.3,0.2441102
3263,17.6,0.46,1.22,4.82,2.21,0.2,1.18,327.35,398.55,15,6,4,1.41,17,Superheated,37.9,-1,152,24,4,16.3,7.4,3.3,0.2267082
3264,17.46,0.46,1.19,4.8,2.2,0.22,1.22,326.52,398.44,15,6,4,1.42,17,Superheated,37.9,-1,152,25,5,16.3,7.65,-0.6,0.19501561
3265,17.38,0.46,1.2,4.8,2.2,0.21,1.2,325.89,399.11,15,6,4,1.38,17,Superheated,37.9,-1,152,26,5,16.3,7.65,1.2,0.19472341
3266,17.44,0.46,1.19,4.82,2.18,0.2,1.22,327.09,399.31,15,6,4,1.42,17,Superheated,37.9,-1,152,27,5,16.3,7.65,3,0.21609077
3267,23.98,0.19,1.98,2.99,3,0,2.6,284.57,423.22,15,9,4,2.01,22,Superheated,37.9,-1,152,1,1,18.05,1.7,-1.1,0.17790781
3268,24.13,0.19,1.99,3.01,2.99,-0.01,2.59,284.54,423.31,15,9,4,2,22,Superheated,37.9,-1,152,2,1,18.05,1.7,0.7,0.17817967
3269,24.18,0.19,2.02,2.99,2.98,0,2.59,284.77,423.14,15,9,4,2.01,22,Superheated,37.9,-1,152,3,1,18.05,1.7,2.5,0.22784588
3270,24.05,0.19,2.01,3,3,0.02,2.61,284.35,422.63,15,9,4,2.02,22,Superheated,37.9,-1,152,4,1,18.05,6,-1.1,0.21536461
3271,24.14,0.19,1.99,3.01,2.99,0,2.6,282.66,423.27,15,9,4,2.01,22,Superheated,37.9,-1,152,5,1,18.05,6,0.7,0.18537115
3272,24.23,0.19,1.99,2.99,3.01,0,2.59,284.45,423.69,15,9,4,1.98,22,Superheated,37.9,-1,152,6,1,18.05,6,2.5,0.1239795
3273,24.13,0.19,1.99,3.01,2.98,0.01,2.61,284.26,423.52,15,9,4,2,22,Superheated,37.9,-1,152,7,1,18.05,10.3,-1.1,0.1403605
3274,24.34,0.19,2.01,2.99,3.01,0,2.61,283.17,423.27,15,9,4,1.99,22,Superheated,37.9,-1,152,8,1,18.05,10.3,0.7,0.13738403
3275,24.18,0.19,2,3,3.01,0.01,2.62,284.6,422.62,15,9,4,1.98,22,Superheated,37.9,-1,152,9,1,18.05,10.3,2.5,0.1799024
3276,24.24,0.19,2,2.98,3.01,0,2.59,283.73,423.69,15,9,4,2.02,22,Superheated,37.9,-1,152,10,2,15.95,1.7,-1.1,1.2049105
3277,24.02,0.19,1.99,3.01,3.02,0.01,2.59,284.41,423.28,15,9,4,2,22,Superheated,37.9,-1,152,11,2,15.95,1.7,0.7,1.1797085
3278,24.15,0.19,1.99,3.02,2.99,-0.01,2.59,285.01,423.24,15,9,4,2.01,22,Superheated,37.9,-1,152,12,2,15.95,1.7,2.5,1.0826703
3279,24.28,0.19,2.01,3.01,2.98,0,2.59,284.11,423.58,15,9,4,1.99,22,Superheated,37.9,-1,152,13,2,15.95,6,-1.1,1.2020811
3280,24.05,0.19,1.99,3.01,2.98,-0.01,2.59,285.29,422.74,15,9,4,2,22,Superheated,37.9,-1,152,14,2,15.95,6,0.7,1.1869165
3281,24.17,0.19,1.99,2.98,3,0,2.59,285.07,423.13,15,9,4,1.99,22,Superheated,37.9,-1,152,15,2,15.95,6,2.5,1.0878665
3282,24.12,0.19,1.99,2.99,2.99,0,2.58,284.04,423.34,15,9,4,1.99,22,Superheated,37.9,-1,152,16,2,15.95,10.3,-1.1,0.98808491
3283,24.32,0.19,2.01,3,2.99,0.01,2.61,285.05,423.85,15,9,4,2.01,22,Superheated,37.9,-1,152,17,2,15.95,10.3,0.7,0.9823826
3284,24.02,0.19,1.99,2.99,2.99,0.02,2.59,284.87,423.21,15,9,4,2,22,Superheated,37.9,-1,152,18,2,15.95,10.3,2.5,0.91320634
3285,24.06,0.19,2.01,3.02,2.99,0.02,2.59,284.43,422.98,15,9,4,1.98,22,Superheated,37.9,-1,152,19,3,17,1.45,-1.1,0.67846048
3286,24.35,0.19,1.98,2.99,3.01,-0.02,2.61,283.73,423.14,15,9,4,2.01,22,Superheated,37.9,-1,152,20,3,17,1.45,0.7,0.66902983
3287,24.24,0.19,2.01,3,2.98,0,2.62,284.31,423.46,15,9,4,2,22,Superheated,37.9,-1,152,21,3,17,1.45,2.5,0.59114027
3288,24.33,0.19,1.99,3.01,3.01,0.02,2.58,284.07,424.08,15,9,4,2.01,22,Superheated,37.9,-1,152,22,4,17,1.7,2.8,0.45528799
3289,24.23,0.19,1.99,2.98,2.99,0.01,2.61,283.93,423.68,15,9,4,1.98,22,Superheated,37.9,-1,152,23,4,17,6,2.8,0.39407325
3290,24.04,0.19,1.99,3,3.01,-0.01,2.58,283.6,423.26,15,9,4,2,22,Superheated,37.9,-1,152,24,4,17,10.3,2.8,0.34705469
3291,24.15,0.19,1.99,3.01,3.01,-0.01,2.59,284.44,423.17,15,9,4,2.01,22,Superheated,37.9,-1,152,25,5,17,10.55,-1.1,0.26468804
3292,24.12,0.19,2,2.98,2.98,-0.02,2.61,284.04,423.72,15,9,4,1.99,22,Superheated,37.9,-1,152,26,5,17,10.55,0.7,0.26412299
3293,24.22,0.18,2,3,2.99,0.01,2.59,284.21,423.24,15,9,4,2.01,22,Superheated,37.9,-1,152,27,5,17,10.55,2.5,0.31342623
3294,22.29,0.37,2.22,4.2,0.81,0.99,0.59,511.37,332.26,11,4,4,0.8,27,Subcooled,37.9,-1,152,1,1,12.95,3.8,-1.1,0.11172614
3295,22.3,0.37,2.19,4.18,0.79,0.99,0.62,511.8,332.8,11,4,4,0.8,27,Subcooled,37.9,-1,152,2,1,12.95,3.8,0.7,0.11233156
3296,22.46,0.36,2.21,4.19,0.8,0.98,0.59,511.63,332.08,11,4,4,0.79,27,Subcooled,37.9,-1,152,3,1,12.95,3.8,2.5,0.1439711
3297,22.7,0.37,2.19,4.21,0.78,1.01,0.59,510.91,332.39,11,4,4,0.81,27,Subcooled,37.9,-1,152,4,1,12.95,5.6,-1.1,0.066229455
3298,22.36,0.36,2.21,4.22,0.81,1,0.61,512.28,332.3,11,4,4,0.79,27,Subcooled,37.9,-1,152,5,1,12.95,5.6,0.7,0.081878863
3299,22.38,0.37,2.21,4.21,0.81,0.98,0.58,510.47,331.41,11,4,4,0.82,27,Subcooled,37.9,-1,152,6,1,12.95,5.6,2.5,0.092386901
3300,22.43,0.37,2.2,4.19,0.79,0.99,0.59,511.43,332.33,11,4,4,0.81,27,Subcooled,37.9,-1,152,7,1,12.95,7.4,-1.1,0.071111627
3301,22.44,0.36,2.2,4.19,0.78,1,0.59,512.36,331.9,11,4,4,0.79,27,Subcooled,37.9,-1,152,8,1,12.95,7.4,0.7,0.10631105
3302,22.38,0.37,2.21,4.2,0.81,1,0.62,511.14,331.85,11,4,4,0.81,27,Subcooled,37.9,-1,152,9,1,12.95,7.4,2.5,0.11818918
3303,22.28,0.37,2.21,4.19,0.81,0.98,0.6,512.12,332.38,11,4,4,0.8,27,Subcooled,37.9,-1,152,10,2,12.05,3.8,-1.1,0.45206821
3304,22.43,0.36,2.21,4.2,0.81,1,0.61,512.43,331.93,11,4,4,0.81,27,Subcooled,37.9,-1,152,11,2,12.05,3.8,0.7,0.45142645
3305,22.37,0.36,2.19,4.21,0.79,1.02,0.59,511.38,332.69,11,4,4,0.82,27,Subcooled,37.9,-1,152,12,2,12.05,3.8,2.5,0.43275484
3306,22.5,0.36,2.18,4.18,0.79,0.98,0.62,512.41,332.5,11,4,4,0.8,27,Subcooled,37.9,-1,152,13,2,12.05,5.6,-1.1,0.50251955
3307,22.35,0.37,2.2,4.19,0.79,1.01,0.62,511.51,332.07,11,4,4,0.78,27,Subcooled,37.9,-1,152,14,2,12.05,5.6,0.7,0.50478667
3308,22.52,0.37,2.19,4.19,0.81,0.99,0.61,512.05,331.67,11,4,4,0.8,27,Subcooled,37.9,-1,152,15,2,12.05,5.6,2.5,0.47859195
3309,22.45,0.36,2.21,4.19,0.8,1.01,0.61,511.55,332.02,11,4,4,0.78,27,Subcooled,37.9,-1,152,16,2,12.05,7.4,-1.1,0.44104561
3310,22.34,0.36,2.21,4.2,0.79,1.02,0.58,512.33,332.29,11,4,4,0.81,27,Subcooled,37.9,-1,152,17,2,12.05,7.4,0.7,0.44489011
3311,22.38,0.37,2.22,4.22,0.82,1.01,0.58,510.36,332.29,11,4,4,0.82,27,Subcooled,37.9,-1,152,18,2,12.05,7.4,2.5,0.42518193
3312,22.46,0.37,2.2,4.21,0.8,0.99,0.59,512.48,332.03,11,4,4,0.81,27,Subcooled,37.9,-1,152,19,3,12.5,3.55,-1.1,0.31764555
3313,22.3,0.36,2.21,4.22,0.82,0.99,0.61,511.69,332,11,4,4,0.81,27,Subcooled,37.9,-1,152,20,3,12.5,3.55,0.7,0.31740806
3314,22.34,0.37,2.22,4.19,0.79,1,0.58,511.94,332.32,11,4,4,0.81,27,Subcooled,37.9,-1,152,21,3,12.5,3.55,2.5,0.30322382
3315,22.39,0.37,2.18,4.21,0.81,1,0.62,512.47,331.98,11,4,4,0.81,27,Subcooled,37.9,-1,152,22,4,12.5,3.8,2.8,0.22546241
3316,22.38,0.37,2.19,4.18,0.79,0.99,0.59,511.58,332.12,11,4,4,0.79,27,Subcooled,37.9,-1,152,23,4,12.5,5.6,2.8,0.2101932
3317,22.38,0.37,2.19,4.19,0.78,0.99,0.61,512.31,331.9,11,4,4,0.79,27,Subcooled,37.9,-1,152,24,4,12.5,7.4,2.8,0.19893363
3318,22.41,0.36,2.22,4.18,0.81,0.99,0.61,512.4,331.8,11,4,4,0.82,27,Subcooled,37.9,-1,152,25,5,12.5,7.65,-1.1,0.16129878
3319,22.41,0.37,2.19,4.19,0.81,1,0.59,511.18,331.72,11,4,4,0.81,27,Subcooled,37.9,-1,152,26,5,12.5,7.65,0.7,0.16282651
3320,22.41,0.37,2.21,4.2,0.79,1,0.62,510.95,332.25,11,4,4,0.81,27,Subcooled,37.9,-1,152,27,5,12.5,7.65,2.5,0.17949559
3321,40.46,0.18,1.98,1.58,1.21,1.59,0.99,446.34,288.27,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,1,1,13.65,-0.8,-1.9,0.098231882
3322,40.51,0.19,2.02,1.6,1.18,1.61,0.99,446.47,287.68,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,2,1,13.65,-0.8,-0.1,0.11594174
3323,40.53,0.19,1.99,1.59,1.19,1.61,0.99,446.64,288.42,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,3,1,13.65,-0.8,1.7,0.12684639
3324,40.61,0.18,1.99,1.61,1.2,1.6,1.02,446.55,288.34,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,4,1,13.65,1,-1.9,0.11074492
3325,40.46,0.18,2,1.59,1.21,1.61,1.01,445.1,288.42,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,5,1,13.65,1,-0.1,0.1349702
3326,40.55,0.19,1.99,1.6,1.21,1.59,0.99,445.12,288.17,12,4,4,0.62,5,Subcooled,42.5,-42,96.7,6,1,13.65,1,1.7,0.079054222
3327,40.6,0.19,1.99,1.59,1.21,1.6,0.98,445.47,288.18,12,4,4,0.62,5,Subcooled,42.5,-42,96.7,7,1,13.65,2.8,-1.9,0.083198845
3328,40.59,0.18,2.01,1.62,1.21,1.6,0.99,444.1,288.05,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,8,1,13.65,2.8,-0.1,0.082243837
3329,40.34,0.18,1.98,1.59,1.22,1.6,1,444.92,288.78,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,9,1,13.65,2.8,1.7,0.13005139
3330,40.31,0.19,2.02,1.58,1.21,1.61,1.02,445.08,287.52,12,4,4,0.62,5,Subcooled,42.5,-42,96.7,10,2,12.95,-0.8,-1.9,0.51727331
3331,40.49,0.19,2,1.62,1.22,1.61,1.01,444.58,288.68,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,11,2,12.95,-0.8,-0.1,0.49082363
3332,40.55,0.18,1.99,1.58,1.19,1.61,1,444.9,288.07,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,12,2,12.95,-0.8,1.7,0.35749227
3333,40.49,0.19,2.01,1.61,1.2,1.6,1.01,446.29,288.06,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,13,2,12.95,1,-1.9,0.57440162
3334,40.53,0.18,2.01,1.61,1.21,1.6,0.99,444.9,288.72,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,14,2,12.95,1,-0.1,0.54707456
3335,40.37,0.19,2.01,1.58,1.21,1.6,0.99,447.17,288.17,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,15,2,12.95,1,1.7,0.39902899
3336,40.58,0.19,2.01,1.61,1.22,1.62,1.01,445.17,288.43,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,16,2,12.95,2.8,-1.9,0.53074658
3337,40.49,0.18,2.01,1.58,1.22,1.61,1.01,446.23,288.23,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,17,2,12.95,2.8,-0.1,0.50908923
3338,40.33,0.18,1.99,1.58,1.19,1.59,1.02,445.24,287.9,12,4,4,0.61,5,Subcooled,42.5,-42,96.7,18,2,12.95,2.8,1.7,0.3883906
3339,40.49,0.18,1.99,1.59,1.19,1.6,1.02,445.41,288.61,12,4,4,0.62,5,Subcooled,42.5,-42,96.7,19,3,13.3,-1.05,-1.9,0.28035498
3340,40.68,0.18,2,1.61,1.22,1.61,1,445.65,288.48,12,4,4,0.58,5,Subcooled,42.5,-42,96.7,20,3,13.3,-1.05,-0.1,0.26985422
3341,40.48,0.19,1.99,1.61,1.19,1.59,1,444.71,288.57,12,4,4,0.58,5,Subcooled,42.5,-42,96.7,21,3,13.3,-1.05,1.7,0.22190078
3342,40.54,0.19,2,1.59,1.21,1.59,1.01,445.02,288.14,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,22,4,13.3,-0.8,2,0.18956883
3343,40.43,0.18,1.98,1.61,1.19,1.62,0.98,445.17,287.93,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,23,4,13.3,1,2,0.18901685
3344,40.47,0.19,2.02,1.6,1.2,1.6,1.01,445.05,289.05,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,24,4,13.3,2.8,2,0.19931875
3345,40.63,0.18,1.99,1.61,1.19,1.6,1.02,445.9,288.29,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,25,5,13.3,3.05,-1.9,0.25897983
3346,40.28,0.18,2,1.58,1.2,1.59,1,445.74,288.3,12,4,4,0.59,5,Subcooled,42.5,-42,96.7,26,5,13.3,3.05,-0.1,0.25224885
3347,40.52,0.19,1.98,1.61,1.2,1.61,1.01,445.73,287.85,12,4,4,0.6,5,Subcooled,42.5,-42,96.7,27,5,13.3,3.05,1.7,0.22222795
3348,34.4,0.28,2.8,4.62,1.4,0.42,0.98,352.87,339.56,13,3,8,2.41,10,Subcooled,42.5,-42,96.7,1,1,16.85,0.9,-0.7,0.17461258
3349,34.47,0.28,2.8,4.61,1.41,0.41,1.01,352.66,339.48,13,3,8,2.42,10,Subcooled,42.5,-42,96.7,2,1,16.85,0.9,3.1,0.17954536
3350,34.28,0.28,2.79,4.59,1.38,0.39,1.01,352.47,339.26,13,3,8,2.41,10,Subcooled,42.5,-42,96.7,3,1,16.85,0.9,6.9,0.19893676
3351,34.47,0.28,2.8,4.61,1.4,0.39,1,352.23,339.08,13,3,8,2.41,10,Subcooled,42.5,-42,96.7,4,1,16.85,2.2,-0.7,0.19064058
3352,34.47,0.28,2.81,4.59,1.41,0.41,1.01,352.6,339.22,13,3,8,2.41,10,Subcooled,42.5,-42,96.7,5,1,16.85,2.2,3.1,0.19516867
3353,34.17,0.28,2.79,4.59,1.38,0.41,1.02,352.17,338.36,13,3,8,2.4,10,Subcooled,42.5,-42,96.7,6,1,16.85,2.2,6.9,0.22254802
3354,34.11,0.28,2.8,4.59,1.41,0.41,1.01,352.66,339.31,13,3,8,2.38,10,Subcooled,42.5,-42,96.7,7,1,16.85,3.5,-0.7,0.18765512
3355,34.41,0.28,2.8,4.59,1.41,0.4,1.01,352.87,339.4,13,3,8,2.39,10,Subcooled,42.5,-42,96.7,8,1,16.85,3.5,3.1,0.19114445
3356,34.36,0.28,2.8,4.59,1.41,0.38,0.98,350.9,339.36,13,3,8,2.39,10,Subcooled,42.5,-42,96.7,9,1,16.85,3.5,6.9,0.23822089
